	text	label
2580	[the film] tackles the topic of relationships in such a straightforward , emotionally honest manner that by the end , it's impossible to ascertain whether the film is , at its core , deeply pessimistic or quietly hopeful . 	1
7129	daphne must attempt to fit in with the social requirements demanded of her , while also getting to know her father , dealing with his territorial other daughter , and maintaining her own self-identity . 	0
4083	russian ark is a new treasure of the hermitage . 	1
2551	an incoherent jumble of a film that's rarely as entertaining as it could have been . 	1
4927	what could and should have been biting and droll is instead a tepid waste of time and talent . 	1
9059	this is a true documentry of art versus money-driven media conglomerates . 	0
7557	along the way , ash continues to mature into the unstoppable pok&#233 ; mon trainer he will become in the future . 	0
9816	stuart's mother is being over-protective of him , especially when he narrowly escapes injury in a soccer game . 	0
3284	star trek : nemesis meekly goes where nearly every star trek movie has gone before . wince-inducing dialogue , thrift-shop costumes , prosthetic makeup by silly putty and kmart blue-light-special effects all conspire to test trekkie loyalty . 	1
7924	joe is beaten up by some of johnny's buddies as a sign to leave him alone , and with this final act of freedom , johnny leaves the world of pool-sharking . 	0
5870	when the chemical sisters , montreal's fabulous club kid duo find an unconscious naked boy on their way out from yet another jetset event , they decide to bring him home and take matters into their own glittery hands . 	0
4275	an entertaining mix of period drama and flat-out farce that should please history fans . 	1
7265	as both marly and desiree grapple with the sometimes overwhelming weight of family history and family expectations , and wrestle with questions of love , duty and responsibility , the tale offers a portrait of two women , two families , and two communities standing on the brink of change . 	0
9205	dantes is imprisoned on the island prison of chateau d'lf for 13 years , where he plots revenge against those who betrayed him . 	0
7634	in an attempt to prove the 58 million dollar claim on the ship is false , she flies to argentina and becomes embroiled in a dangerous web of deceit , lies , murder and lost love . 	0
1637	miyazaki has provided another triumph , and , in the midst of the quality fall-off of disney's in-house animated projects , a reason for animation-lovers to rejoice . 	1
6567	sitting in front of a computer , drinking excessive amounts of coffee and smoking cigarettes are the different tasks that keep dana awake and ready for the next message . 	0
6514	this movie shows the intense life of this character ; not only focusing in the robberies , but also in the reasons that pushed him into acting the way he did . 	0
6270	en un ca&#243 ; tico principio del siglo xxi , oleadas de cr&#237 ; menes saturan los informativos , y decenas de sectas tratan de captar la fe de la cada vez m&#225 ; s esc&#233 ; ptica poblaci&#243 ; n . 	0
5784	whether noam chomsky , the mit linguist and political philosopher , is the most important intellectual alive , as the new york times once famously called him , is open for debate . 	0
6012	through battles and adventures ahas and his companions grow up , but destiny has some bitter surprises to offer . 	0
3582	"let's hope -- shall we ? -- that the 'true story' by which all the queen's men is allegedly "" inspired "" was a lot funnier and more deftly enacted than what's been cobbled together onscreen . "	1
3490	a naturally funny film , home movie makes you crave chris smith's next movie . 	1
8691	rajani plans to offer her daughter to an older man , a rich husband and protector to her daughter . 	0
9141	when marisa's true identity is revealed , the two find that they are worlds apart , even though the distance separating them is just a subway ride between manhattan and the bronx . 	0
8677	rayne johnson is a shrewd investment company assistant who turns a mob slaying into a golden opportunity for a new improved lifestyle , managing to outsmart the crooked cops who are very eager to see her disappear . 	0
9255	will god let her fall or give her a new path ? 	0
8496	suddenly , going to church becomes much more appealing . 	0
1359	take a friend ( invisible or real ) to see this one . . . it's laugh out loud funny	1
6717	but with betts systematically eliminating anyone in his way , a further web of conspiracy unfolds and rachel and daniel are led to her old family doctor , robert barrum ( frank finlay ) . 	0
7612	while lying in the middle of those flowers he devotes to his yearning for love . 	0
5536	in the early 1980's , a white police officer ( andres stander , played by thomas jane ) in johannesburg suffers a crisis of conscience due to his involvement in apartheid and becomes a notorious bank robber on the run . 	0
9248	this doesn't go down well with his superiors and they decide that rajput is now a liability to the bank and they sack him . 	0
9530	josh also gets fixated on sex , though he has no clear idea what it's all about , and in particular on nadine ; to mike's chagrin , she seems more interested in josh than in him . 	0
3876	while it doesn't expose any new truths about the problems posed by reaching middle age , it reflects wisely on the truths that already exist . 	1
8609	detective kuroda tries to find the answer , which isn't as simple as one could hope . 	0
7892	biker cary ford is framed by and old rival and biker gang leader for the murder of another gang member who happens to be the brother of trey ( ice cube ) , leader of the most feared biker gang in the country . 	0
2066	[d]oesn't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful . 	1
3509	 . . . little more than a well-acted television melodrama shot for the big screen . 	1
2057	there's the plot , and a maddeningly insistent and repetitive piano score that made me want to scream . 	1
5553	missing her opportunity with him that night , cameron diaz is talked into pursuing him to his brother's wedding . 	0
5953	a young man ( keanu reeves ) plays a doctor caring for a man ( nicholson ) , who suffers a heart attack at the house of his young girlfriend's mother ( keaton ) . 	0
5369	once again , the case seems to be solved with this spectacular arrest . 	0
167	how do you make a movie with depth about a man who lacked any ? on the evidence before us , the answer is clear : not easily and , in the end , not well enough . 	1
4139	the mothman prophecies , which is mostly a bore , seems to exist only for its climactic setpiece . 	1
3642	not a film to rival to live , but a fine little amuse-bouche to keep your appetite whetted . 	1
3445	it's a bad action movie because there's no rooting interest and the spectacle is grotesque and boring . 	1
2260	wins my vote for 'the 2002 enemy of cinema' award . 	1
2058	this is pretty dicey material . but some unexpected zigs and zags help . 	1
5866	outside , another man sits by the door keeping vigil . 	0
2644	a byzantine melodrama that stimulates the higher brain functions as well as the libido . 	1
620	it's something of the ultimate scorsese film , with all the stomach-turning violence , colorful new york gang lore and other hallmarks of his personal cinema painted on their largest-ever historical canvas . 	1
3856	this charmless nonsense ensues amid clanging film references that make jay and silent bob's excellent adventure seem understated . 	1
7030	it seems like a perfect opportunity for kilo to get back to his family , but this job leads to a world of trouble for kilo after his release . 	0
2549	trivial where it should be profound , and hyper-cliched where it should be sincere . 	1
9822	chon lin follows rathbone to london to kill him , while sending chon a letter telling him of the murder . 	0
4404	its cast full of caffeinated comedy performances more than make up for its logical loopholes , which fly by so fast there's no time to think about them anyway . 	1
5372	patricia mistakes a truck drivers destination and strands in las vegas . 	0
9524	through trial and failures , she teaches him to use the power of eternal souls to solve both his professional and personal problems . 	0
9049	the mexican dream , is a tragic comedy about the longings and delusions that lure so many illegal inmigrants to this country . 	0
