	text	label
4392	every once in a while , a movie will come along that turns me into that annoying specimen of humanity that i usually dread encountering the most - the fanboy	1
131	a competent , unpretentious entertainment destined to fill the after-school slot at shopping mall theaters across the country . 	1
1754	the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining . 	1
3172	credit director ramsay for taking the sometimes improbable story and making it feel realistic . 	1
8316	now , years later he has two sons and they have a band . 	0
8178	left in the care of erica and his doctor ( reeves ) , a love triangle starts to take shape . 	0
7615	the main theme of this feature- 90 minute film , the exploitation of art for political ideology , is expressed by the personal and ideological conflicts between three artists and their mentors . 	0
4777	epic battles , spectacular effects and multiple story lines make the two towers a most excellent middle chapter in the lord of the rings film trilogy . 	1
7123	they both get close to tun , a lonely youth with an unspecified illness . 	0
7081	produced by chica luna productions , corporate dawgz is a comedic ode to white revolutionaries who understand that what they give up in privilege they gain tenfold in humanity . 	0
2338	if ocean's eleven was a high-priced banquet of popular guys toasting one another's hard-earned coolness in a pointless caper , full frontal is the after-party . 	1
1439	now as a former gong show addict , i'll admit it , my only complaint is that we didn't get more re-creations of all those famous moments from the show . 	1
9122	hundert's challenge is to change this young man while maintaining his integrity . 	0
5691	incredibly , dionysus' unarmed women defeat pentheus' formidable royal army . 	0
9743	the two engage in a spirited and acerbic dialogue - meanwhile accomplishing nothing . 	0
5044	rainone's love affair with singing sensation kelly mcguire whom he discovered and his near demise by the hands of his own prot&#233 ; g&#233 ; vincent riccola is the juice that fuels this roller coaster ride through two debauchery-filled decades of greed , sex , drugs and rock and roll . 	0
9220	nothing , and no one , is as it seems , in this adaptation of graham greene's classic and prophetic story of love , betrayal , murder and the origin of the american war in southeast asia . 	0
7884	a woman who has recently discovered that she is the daughter of angelo , a major mafia boss , decides to wreak vengeance when he is killed by a hitman . 	0
5554	the brittle containment of the surface is no match for the volatile eruptions from the unspoken interior - a harrowing and erotic underworld of need and confession that permits the release of all that has been silenced . 	0
9826	the maori take on shakespeare's 'pound of flesh' drama is a story of deep seated social and religious prejudice , that has its revenge in a money lending deal that is bonded in a pound of the christian merchant's flesh on forfeit . 	0
3020	we never really feel involved with the story , as all of its ideas remain just that : abstract ideas . 	1
190	who needs mind-bending drugs when they can see this , the final part of the 'qatsi' trilogy , directed by godfrey reggio , with music by philip glass ? 	1
7120	faced with endless dead-end gigs and his own loss of passion for the music he once thought was his life , he finds himself returning home to the three generations of women that he left behind . 	0
2846	after several scenes of this tacky nonsense , you'll be wistful for the testosterone-charged wizardry of jerry bruckheimer productions , especially because half past dead is like the rock on a wal-mart budget . 	1
3823	the humor is forced and heavy-handed , and occasionally simply unpleasant . 	1
9482	the trouble is , something is already waiting for them inside - something that doesn't want them to leave . 	0
7236	sam decker ( dolph lundgren ) is giving up . 	0
7473	a young man named owen , who can't get over his would-be fiancee and now ex-girlfriend , chloe , who moved to los angeles to become a tv star , finally falls in love with nadine , the girl who would've been their maid of honor . 	0
7948	her parents continue their quest to uphold strict chinese traditions as esther buffy continues to fall faster and faster finding herself up against god , satan , life and possibly death . 	0
5204	the parent corporation sends in an elite military unit , where they meet alice , who is suffering from amnesia due to exposure to nerve gas . 	0
2421	skin of man gets a few cheap shocks from its kids-in-peril theatrics , but it also taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults . 	1
5553	missing her opportunity with him that night , cameron diaz is talked into pursuing him to his brother's wedding . 	0
6016	to the outside , he is a faithful servant and a fierce protector of the organization , but inside he is full of doubt . 	0
1444	colorful and deceptively buoyant until it suddenly pulls the rug out from under you , burkinabe filmmaker dani kouyate's reworking of a folk story whose roots go back to 7th-century oral traditions is also a pointed political allegory . 	1
3400	you feel like you're the one moving at 80 mph , not the street lugers . 	1
2713	the first mistake , i suspect , is casting shatner as a legendary professor and kunis as a brilliant college student--where's pauly shore as the rocket scientist ? 	1
470	hashiguchi covers this territory with wit and originality , suggesting that with his fourth feature -- the first to be released in the u . s . -- a major director is emerging in world cinema . 	1
6145	while she is away a strange man with an axe comes into the motel room and attacks matt . 	0
4773	a suspense thriller with a brain and a heart . 	1
7695	watch as the archetypal stories of life and death , love and renewal , and battles between good and evil cross lines of culture and class to speak in the language of raw human emotion . 	0
2061	for almost the first two-thirds of martin scorsese's 168-minute gangs of new york , i was entranced . 	1
3046	maybe it is formula filmmaking , but there's nothing wrong with that if the film is well-crafted and this one is . 	1
8412	the story follows their lives as they try to reconcile their differences while world war ii impacts each of them on their lives and finally in old age when they meet again , with the hope that the differences in their youht can finally be reconciled . 	0
6985	the girl he wanted to run away with and share the rest of his life . 	0
1762	its battle scenes are dynamic , its pageantry spectacular and its characters appealing . 	1
6562	"terry and dean are lifelong friends who have grown-up together : shotgunning their first beers , forming their first garage band , and growing the great canadian mullet known as "" hockey hair "" . "	0
5709	his motives are plain and simple , to meet a woman . 	0
1107	even by dumb action-movie standards , ballistic : ecks vs . sever is a dumb action movie . 	1
7487	when the day finally comes , johnny breaks from joe , which leads to only one thing - violence . 	0
4039	without resorting to hyperbole , i can state that kissing jessica stein may be the best same-sex romance i have seen . 	1
